labels,label_descriptions,labels_2,labels_3,labels_4,labels_5
CAU_body_R,Region 19 from tian_3t_fsl6,CAU_body_R,pCAU_R,CAU_R,Tian
CAU_tail_R,Region 20 from tian_3t_fsl6,CAU_tail_R,pCAU_R,CAU_R,Tian
CAU_VA_L,Region 44 from tian_3t_fsl6,CAU_VA_L,aCAU_L,CAU_L,Tian
CAU_DA_L,Region 45 from tian_3t_fsl6,CAU_DA_L,aCAU_L,CAU_L,Tian
CAU_body_L,Region 46 from tian_3t_fsl6,CAU_body_L,pCAU_L,CAU_L,Tian
CAU_tail_L,Region 47 from tian_3t_fsl6,CAU_tail_L,pCAU_L,CAU_L,Tian
PUT_VA_R,Region 13 from tian_3t_fsl6,PUT_VA_R,aPUT_R,PUT_R,Tian
PUT_DA_R,Region 14 from tian_3t_fsl6,PUT_DA_R,aPUT_R,PUT_R,Tian
PUT_VP_R,Region 15 from tian_3t_fsl6,PUT_VP_R,pPUT_R,PUT_R,Tian
PUT_DP_R,Region 16 from tian_3t_fsl6,PUT_DP_R,pPUT_R,PUT_R,Tian
PUT_VA_L,Region 40 from tian_3t_fsl6,PUT_VA_L,aPUT_L,PUT_L,Tian
PUT_DA_L,Region 41 from tian_3t_fsl6,PUT_DA_L,aPUT_L,PUT_L,Tian
PUT_VP_L,Region 42 from tian_3t_fsl6,PUT_VP_L,pPUT_L,PUT_L,Tian
PUT_DP_L,Region 43 from tian_3t_fsl6,PUT_DP_L,pPUT_L,PUT_L,Tian
GPe_L,Globus Pallidus external segment (left),GPe_L,GPe_L,GP_L,CIT168 v1.1.0
GPi_L,Globus Pallidus internal segment (left),GPi_L,GPi_L,GP_L,CIT168 v1.1.0
GPe_R,Globus Pallidus external segment (right),GPe_R,GPe_R,GP_R,CIT168 v1.1.0
GPi_R,Globus Pallidus internal segment (right),GPi_R,GPi_R,GP_R,CIT168 v1.1.0
Cblm_I_IV_L,Region 1 from SUIT_Cerebellum_MNI,Cblm_I_IV_L,Cblm_I_IV_L,cerebellar_cortex_L,SUIT/Diedrichsen
Cblm_I_IV_R,Region 2 from SUIT_Cerebellum_MNI,Cblm_I_IV_R,Cblm_I_IV_R,cerebellar_cortex_R,SUIT/Diedrichsen
Cblm_V_L,Region 3 from SUIT_Cerebellum_MNI,Cblm_V_L,Cblm_V_L,cerebellar_cortex_L,SUIT/Diedrichsen
Cblm_V_R,Region 4 from SUIT_Cerebellum_MNI,Cblm_V_R,Cblm_V_R,cerebellar_cortex_R,SUIT/Diedrichsen
Cblm_VI_L,Region 5 from SUIT_Cerebellum_MNI,Cblm_VI_L,Cblm_VI_L,cerebellar_cortex_L,SUIT/Diedrichsen
Cblm_Vermis_VI,Region 6 from SUIT_Cerebellum_MNI,Cblm_Vermis_VI,Cblm_Vermis_VI,vermis,SUIT/Diedrichsen
Cblm_VI_R,Region 7 from SUIT_Cerebellum_MNI,Cblm_VI_R,Cblm_VI_R,cerebellar_cortex_R,SUIT/Diedrichsen
Cblm_CrusI_L,Region 8 from SUIT_Cerebellum_MNI,Cblm_CrusI_L,Cblm_CrusI_L,cerebellar_cortex_L,SUIT/Diedrichsen
Cblm_CrusI_R,Region 10 from SUIT_Cerebellum_MNI,Cblm_CrusI_R,Cblm_CrusI_R,cerebellar_cortex_R,SUIT/Diedrichsen
Cblm_CrusII_L,Region 11 from SUIT_Cerebellum_MNI,Cblm_CrusII_L,Cblm_CrusII_L,cerebellar_cortex_L,SUIT/Diedrichsen
Cblm_Vermis_CrusII,Region 12 from SUIT_Cerebellum_MNI,Cblm_Vermis_CrusII,Cblm_Vermis_CrusII,vermis,SUIT/Diedrichsen
Cblm_CrusII_R,Region 13 from SUIT_Cerebellum_MNI,Cblm_CrusII_R,Cblm_CrusII_R,cerebellar_cortex_R,SUIT/Diedrichsen
Cblm_VIIb_L,Region 14 from SUIT_Cerebellum_MNI,Cblm_VIIb_L,Cblm_VIIb_L,cerebellar_cortex_L,SUIT/Diedrichsen
Cblm_Vermis_VIIb,Region 15 from SUIT_Cerebellum_MNI,Cblm_Vermis_VIIb,Cblm_Vermis_VIIb,vermis,SUIT/Diedrichsen
Cblm_VIIb_R,Region 16 from SUIT_Cerebellum_MNI,Cblm_VIIb_R,Cblm_VIIb_R,cerebellar_cortex_R,SUIT/Diedrichsen
Cblm_VIIIa_L,Region 17 from SUIT_Cerebellum_MNI,Cblm_VIIIa_L,Cblm_VIIIa_L,cerebellar_cortex_L,SUIT/Diedrichsen
Cblm_Vermis_VIIIa,Region 18 from SUIT_Cerebellum_MNI,Cblm_Vermis_VIIIa,Cblm_Vermis_VIIIa,vermis,SUIT/Diedrichsen
Cblm_VIIIa_R,Region 19 from SUIT_Cerebellum_MNI,Cblm_VIIIa_R,Cblm_VIIIa_R,cerebellar_cortex_R,SUIT/Diedrichsen
Cblm_VIIIb_L,Region 20 from SUIT_Cerebellum_MNI,Cblm_VIIIb_L,Cblm_VIIIb_L,cerebellar_cortex_L,SUIT/Diedrichsen
Cblm_Vermis_VIIIb,Region 21 from SUIT_Cerebellum_MNI,Cblm_Vermis_VIIIb,Cblm_Vermis_VIIIb,vermis,SUIT/Diedrichsen
Cblm_VIIIb_R,Region 22 from SUIT_Cerebellum_MNI,Cblm_VIIIb_R,Cblm_VIIIb_R,cerebellar_cortex_R,SUIT/Diedrichsen
Cblm_IX_L,Region 23 from SUIT_Cerebellum_MNI,Cblm_IX_L,Cblm_IX_L,cerebellar_cortex_L,SUIT/Diedrichsen
Cblm_Vermis_IX,Region 24 from SUIT_Cerebellum_MNI,Cblm_Vermis_IX,Cblm_Vermis_IX,vermis,SUIT/Diedrichsen
Cblm_IX_R,Region 25 from SUIT_Cerebellum_MNI,Cblm_IX_R,Cblm_IX_R,cerebellar_cortex_R,SUIT/Diedrichsen
Cblm_X_L,Region 26 from SUIT_Cerebellum_MNI,Cblm_X_L,Cblm_X_L,cerebellar_cortex_L,SUIT/Diedrichsen
Cblm_Vermis_X,Region 27 from SUIT_Cerebellum_MNI,Cblm_Vermis_X,Cblm_Vermis_X,vermis,SUIT/Diedrichsen
Cblm_X_R,Region 28 from SUIT_Cerebellum_MNI,Cblm_X_R,Cblm_X_R,cerebellar_cortex_R,SUIT/Diedrichsen
